hostname,common_name,issuer,valid_from,valid_to,days_remaining,status
service01.example.gov.vc,other01.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2026-12-23,2027-03-23,212,NAME_MISMATCH
service02.example.gov.vc,service02.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2027-02-03,2027-05-04,254,VALID
service03.example.gov.vc,service03.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2026-03-02,2027-03-02,191,VALID
service04.example.gov.vc,service04.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2025-07-02,2026-07-02,-52,EXPIRED
service05.example.gov.vc,service05.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-05-24,2026-11-20,89,VALID
service06.example.gov.vc,service06.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2025-12-19,2026-12-19,118,VALID
service07.example.gov.vc,service07.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-05-11,2026-11-07,76,VALID
service08.example.gov.vc,service08.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2026-05-04,2027-05-04,254,VALID
service09.example.gov.vc,service09.example.gov.vc,Example Internal CA,2026-02-25,2026-08-24,1,CRITICAL
service10.example.gov.vc,service10.example.gov.vc,Let's Encrypt R13,2026-07-18,2027-01-14,144,VALID
service11.example.gov.vc,service11.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-06-11,2027-06-11,292,VALID
service12.example.gov.vc,service12.example.gov.vc,Example Internal CA,2026-02-27,2026-08-26,3,CRITICAL
service13.example.gov.vc,other13.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-09-08,2026-12-07,106,NAME_MISMATCH
service14.example.gov.vc,service14.example.gov.vc,Let's Encrypt R13,2026-11-03,2027-02-01,162,VALID
service15.example.gov.vc,service15.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2025-08-03,2026-08-03,-20,EXPIRED
service16.example.gov.vc,service16.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2026-12-04,2027-06-02,283,VALID
service17.example.gov.vc,other17.example.gov.vc,Example Internal CA,2026-03-07,2027-03-07,196,NAME_MISMATCH
service18.example.gov.vc,service18.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2027-02-05,2027-05-06,256,VALID
service19.example.gov.vc,service19.example.gov.vc,Example Internal CA,2026-03-24,2026-09-20,28,WARNING
service20.example.gov.vc,service20.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-02-16,2026-08-15,-8,EXPIRED
service21.example.gov.vc,service21.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-11-18,2027-05-17,267,VALID
service22.example.gov.vc,service22.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-10-01,2027-03-30,219,VALID
service23.example.gov.vc,other23.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2025-11-08,2026-11-08,77,NAME_MISMATCH
service24.example.gov.vc,service24.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2025-09-18,2026-09-18,26,WARNING
service25.example.gov.vc,service25.example.gov.vc,Let's Encrypt R13,2025-09-18,2026-09-18,26,WARNING
service26.example.gov.vc,service26.example.gov.vc,Let's Encrypt R13,2026-05-24,2027-05-24,274,VALID
service27.example.gov.vc,service27.example.gov.vc,Example Internal CA,2027-02-10,2027-05-11,261,VALID
service28.example.gov.vc,service28.example.gov.vc,Let's Encrypt R13,2026-06-08,2027-06-08,289,VALID
service29.example.gov.vc,service29.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2026-01-27,2027-01-27,157,VALID
service30.example.gov.vc,service30.example.gov.vc,Let's Encrypt R13,2025-09-16,2026-09-16,24,WARNING
service31.example.gov.vc,service31.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2026-10-03,2027-04-01,221,VALID
service32.example.gov.vc,service32.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2025-09-10,2026-09-10,18,WARNING
service33.example.gov.vc,other33.example.gov.vc,Example Internal CA,2026-12-13,2027-03-13,202,NAME_MISMATCH
service34.example.gov.vc,service34.example.gov.vc,Example Internal CA,2026-10-10,2027-04-08,228,VALID
service35.example.gov.vc,other35.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-06-11,2026-12-08,107,NAME_MISMATCH
service36.example.gov.vc,service36.example.gov.vc,Example Internal CA,2026-03-01,2026-05-30,-85,EXPIRED
service37.example.gov.vc,service37.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2027-01-11,2027-04-11,231,VALID
service38.example.gov.vc,service38.example.gov.vc,Example Internal CA,2026-04-03,2027-04-03,223,VALID
service39.example.gov.vc,service39.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2027-03-21,2027-06-19,300,VALID
service40.example.gov.vc,service40.example.gov.vc,Example Internal CA,2026-05-30,2026-08-28,5,CRITICAL
service41.example.gov.vc,service41.example.gov.vc,Example Internal CA,2026-09-25,2026-12-24,123,VALID
service42.example.gov.vc,service42.example.gov.vc,Let's Encrypt R13,2026-06-08,2026-09-06,14,WARNING
service43.example.gov.vc,service43.example.gov.vc,DigiCert TLS RSA SHA256 2020 CA1,2026-05-05,2026-11-01,70,VALID
service44.example.gov.vc,service44.example.gov.vc,Example Internal CA,2025-08-23,2026-08-23,0,CRITICAL
service45.example.gov.vc,service45.example.gov.vc,Sectigo RSA Domain Validation Secure Server CA,2025-08-06,2026-08-06,-17,EXPIRED
service46.example.gov.vc,service46.example.gov.vc,Let's Encrypt R13,2026-09-16,2026-12-15,114,VALID
service47.example.gov.vc,service47.example.gov.vc,Example Internal CA,2026-03-05,2026-09-01,9,WARNING
service48.example.gov.vc,other48.example.gov.vc,Example Internal CA,2026-07-26,2027-01-22,152,NAME_MISMATCH
service49.example.gov.vc,service49.example.gov.vc,Let's Encrypt R13,2025-09-07,2026-09-07,15,WARNING
service50.example.gov.vc,service50.example.gov.vc,Example Internal CA,2027-02-20,2027-05-21,271,VALID
